codal;na;mg;P;k;Ca;Mn;Fe;Cu;Zn;Se;Iode;glucides;glus;energie;fibres;eau;lipides;ags;agp;LAom6;ALAom3;om3epa;om3dha;ret;bcar;vitd;vite;vitc;vitb1;vitb2;vitb5;vitb6;vitb12;vitb9;alcool;chol;Phytates;epadha;vita;vitb3_en;MFP;eq_thenoir;fer_nonhem;fer_hem;mg_dis;energie_d;qte_d;glus_slac;proteines_d;proteines_N_d
42;16.70;3.10;13.00;43.00;13.00;0.0900;0.060;0.0100;0.2600;25.000;10.00;17.80;17.800;162.00;0.2500;69.400;0.300;0.0001;0.0001;0.0001;0.0001;0.00012;0.00012;0.00;52.90;0.000;0.040;1.200;0.0210;0.0100;0.0530;0.0200;0.0770;5.08;12.1000;0.00;0;0.00024;4.41;0.1600;0.00;0.00000;0.060;0.00000;0.00;0.00;0;16.9012;0.5700;0.5700
43;6.00;8.00;7.00;71.00;8.00;0.5300;0.210;0.0790;0.1300;1.100;1.00;22.50;22.300;180.00;0.3000;65.000;2.190;1.6400;0.0330;0.0004;0.0004;0.00000;0.00000;0.00;1.00;0.000;0.020;4.900;0.0290;0.0170;0.0610;0.0450;0.0000;12.00;9.9000;0.00;0;0.00000;0.08;0.1200;0.00;0.00000;0.210;0.00000;0.00;0.00;0;21.7342;0.0000;0.0000
172;545.00;57.60;206.00;221.00;89.20;0.3000;5.490;0.7600;6.0000;14.600;123.00;2.40;0.000;92.90;0.0000;76.600;1.800;0.3350;0.3860;0.0249;0.0165;0.12523;0.10696;41.30;0.00;1.840;2.090;2.900;0.0560;0.1400;0.4000;0.1000;8.4900;18.80;0.0000;84.80;0;0.23219;41.30;4.8866;100.00;0.00000;4.263;1.22702;0.00;92.90;100;0.0000;16.8000;16.8000
577;323.00;17.10;90.00;190.00;46.80;0.5000;0.500;0.5000;0.5000;4.700;20.00;8.57;1.620;117.00;1.1000;74.900;6.150;3.6800;0.4600;0.3500;0.0990;0.00670;0.00000;16.00;25.00;1.100;1.500;0.500;0.0250;0.0900;0.2300;0.0250;0.3600;2.50;0.0000;31.00;100;0.00670;18.08;1.5712;71.20;0.00000;0.372;0.12780;0.00;117.00;100;0.5063;6.3892;6.3892
673;81.30;70.00;210.00;420.00;150.00;0.8300;3.200;0.4200;1.2000;25.000;10.00;52.90;49.900;559.00;2.5100;0.600;34.900;16.4000;2.0100;1.9200;0.0620;0.00770;0.00770;37.70;31.20;0.038;3.180;0.250;0.0940;0.2800;0.5700;0.0410;0.9900;14.70;0.0000;14.30;125;0.01540;40.30;2.0804;0.00;0.00000;3.200;0.00000;0.00;559.00;100;43.2273;7.2405;7.2405
677;13.70;110.00;180.00;400.00;70.00;1.4000;6.100;0.8400;1.7000;25.000;10.00;52.40;48.800;559.00;5.0700;0.500;34.800;16.9000;2.0600;2.0000;0.0670;0.00830;0.00830;10.50;26.80;0.038;4.210;0.250;0.1100;0.0800;0.8500;0.0500;0.3200;32.20;0.0000;7.92;125;0.01660;12.73;2.0141;0.00;0.00000;6.100;0.00000;0.00;559.00;100;48.7174;6.0649;6.0649
1000;0.00;0.00;4.75;2.00;0.00;0.0000;0.080;0.0300;0.0200;0.000;1.00;2.91;0.000;274.00;0.0000;59.600;0.000;0.0000;0.0000;0.0000;0.0000;0.00000;0.00000;0.00;0.00;0.000;0.000;0.000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;37.5000;0.00;0;0.00000;0.00;0.0000;0.00;0.00000;0.080;0.00000;0.00;0.00;0;0.0000;0.0000;0.0000
1001;1.00;0.00;5.00;1.00;0.50;0.0000;0.040;0.0510;0.0190;0.000;1.00;2.80;0.000;228.00;0.0000;66.300;0.000;0.0000;0.0000;0.0000;0.0000;0.00000;0.00000;0.00;0.00;0.000;0.000;0.000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;30.9000;0.00;0;0.00000;0.00;0.0000;0.00;0.00000;0.040;0.00000;0.00;0.00;0;0.0000;0.0000;0.0000
1002;2.00;0.00;0.00;0.00;0.00;0.0000;0.180;0.0025;0.0040;0.000;1.00;0.00;0.000;265.00;0.0000;62.100;0.000;0.0000;0.0000;0.0000;0.0000;0.00000;0.00000;0.00;0.00;0.000;0.000;0.000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;37.9000;0.00;0;0.00000;0.00;0.0000;0.00;0.00000;0.180;0.00000;0.00;0.00;0;0.0000;0.0000;0.0000
1003;7.25;3.00;6.00;30.00;1.00;0.0220;0.080;0.0300;0.0900;0.000;1.00;39.60;35.300;328.00;0.0000;35.600;0.300;0.0830;0.1200;0.0690;0.0520;0.00000;0.00000;0.00;0.00;0.000;0.000;0.000;0.0040;0.0120;0.0000;0.0000;0.0000;0.00;23.8000;0.00;0;0.00000;0.00;0.1200;0.00;0.00000;0.080;0.00000;0.00;0.00;0;35.3000;0.0950;0.0950
