nomen,jour,tyrep,nojour,libmarq,typal3,nom_commercial,numlig,noligne,codgr,sougr,codal,algra,alsuc,enric,diete,rien,typal2,qte_brute,qte_nette,codsougr,codal_name,codgr_name,codsougr_name
110006,1,1,7,summa aldi,2,,47,1,34,99,18151,0,0,0,0,1,4,250,250,3499,café au lait ou café crème ou cappuccino non sucré,coffee,coffee
110006,1,1,7,,3,,49,3,1,1,7001,0,0,0,0,1,1,30,30,11,pain baguette,breads,bread
110006,1,3,7,,3,,51,1,17,2,6210,0,0,0,0,1,1,80,80,172,b?uf rosbif rôti,meat,beef
110006,1,3,7,,1,,52,2,23,7,20030,0,0,0,0,1,4,138,138,237,haricot vert cuit,vegetable,beans
110006,1,3,7,,3,,53,3,1,1,7001,0,0,0,0,1,1,30,30,11,pain baguette,breads,bread
110006,1,3,7,,3,,54,4,41,2,23525,0,0,0,0,1,1,200,200,412,flan pâtissier aux ?ufs ou à la parisienne,milky desserts,dessert
110006,1,3,7,cristaline,1,,55,5,31,4,18008,0,0,0,0,1,4,240,240,314,eau de source,water,spring water
110006,1,5,7,les doris,1,,58,1,21,1,26034,0,0,0,0,1,2,30,28.5,211,sardine à l'huile en conserve égouttée,fish,sea fish
110006,1,5,7,,3,,59,2,39,2,25606,0,0,0,0,1,1,150,150,392,salade de pommes de terre,mixed dishes,pasta or potatoe dish
110006,1,5,7,,2,,60,3,43,1,11110,0,0,0,0,1,1,6,6,431,vinaigrette sans précision,condiment and sauces,sauces
110006,1,5,7,,3,,61,4,1,1,7001,0,0,0,0,1,1,30,30,11,pain baguette,breads,bread
110006,1,5,7,,3,,62,5,41,2,23525,0,0,0,0,1,1,200,200,412,flan pâtissier aux ?ufs ou à la parisienne,milky desserts,dessert
110006,1,5,7,cristaline,1,,63,6,31,4,18008,0,0,0,0,1,4,240,240,314,eau de source,water,spring water
110006,2,1,1,summa aldi,2,,64,1,34,99,18151,0,0,0,0,1,4,250,250,3499,café au lait ou café crème ou cappuccino non sucré,coffee,coffee
110006,2,1,1,tutti free,1,,65,2,30,1,31076,1,0,0,0,0,4,2.5,2.5,301,sucre allégé type tutti free,sugar and byproducts,sugar
110006,2,1,1,,3,,66,3,1,1,7001,0,0,0,0,1,1,30,30,11,pain baguette,breads,bread
110006,2,1,1,marque repère nadya,1,margarine allégée de tournesol 55%mg,67,4,15,99,16632,1,0,0,0,0,1,5,5,1599,matière grasse allégée 60% m.g.,margarine,margarine
110006,2,3,1,boucherie leclerc,2,,68,1,17,3,28301,0,0,0,0,1,1,100,100,173,porc rôti cuit,meat,pork
110006,2,3,1,panzani,2,,69,2,3,1,9811,0,0,0,0,1,4,100,100,31,pâtes alimentaires cuites,pasta,pasta
